ICE/MV2000,"UK Natural Gas Futures, October 2000 (MV2000)"
ICE/SSZ2006,"GBP/CHF, December 2006 (SSZ2006)"
ICE/ARU2006,"AUD/NZD, September 2006 (ARU2006)"
ICE/ISH2014,"US Soybean Futures, March 2014 (ISH2014)"
ICE/ISZ2018,"Soybean Futures, December 2018 (ISZ2018)"
ICE/MG2014,"UK Natural Gas Futures, February 2014 (MG2014)"
ICE/AFRM2008,"Richards Bay Coal Futures, June 2008 (AFRM2008)"
ICE/BH2000,"Brent Crude Oil Futures, March 2000, BH2000, ICE"
ICE/MK2013,"UK Natural Gas Futures, May 2013 (MK2013)"
ICE/AFRQ2010,"Richards Bay Coal Futures, August 2010 (AFRQ2010)"
ICE/ISZ2017,"Soybean Futures, December 2017 (ISZ2017)"
ICE/GZ2005,"Gas Oil Futures, December 2005 (GZ2005)"
ICE/BN1997,"Brent Crude Oil Futures, July 1997, BN1997, ICE"
ICE/BZ1991,"Brent Crude Oil Futures, December 1991, BZ1991, ICE"
ICE/OJF1984,"Orange Juice Futures, January 1984, OJF1984, ICE"
ICE/IWQ2016,"Wheat Futures, August 2016 (IWQ2016)"
ICE/RFM2008,"Russell 1000 Index Mini Futures, June 2008 (RFM2008)"
ICE/BM2015,"Brent Crude Futures, June 2015 (BM2015)"
ICE/BPBM2005,"ENDEX Belgian Power Base Load (legacy), June 2005 (BPBM2005)"
ICE/DXZ1992,"Dollar Index Futures, December 1992, DXZ1992, ICE"
ICE/CH2007,"ECX EUA Futures, March 2007 (CH2007)"
ICE/SBF2015,"Sugar No. 11 Futures, January 2015 (SBF2015)"
ICE/TG2009,"WTI Crude Futures, February 2009 (TG2009)"
ICE/OJX2008,"FCOJ-A Futures, November 2008 (OJX2008)"
ICE/SBH1975,"Sugar No. 11 Futures, March 1975, SBH1975, ICE"
ICE/OJN1979,"Orange Juice Futures, July 1979, OJN1979, ICE"
ICE/TQ2009,"WTI Crude Futures, August 2009 (TQ2009)"
ICE/YV2005,"UK Base Electricity Futures, October 2005 (YV2005)"
ICE/SBV1967,"Sugar No. 11 Futures, October 1967, SBV1967, ICE"
ICE/NJ2020,"NYH RBOB Gasoline, April 2020 (NJ2020)"
ICE/IBOZ2012,"US Soybean Oil Futures, December 2012 (IBOZ2012)"
ICE/ISMZ2014,"Soybean Meal futures, December 2014 (ISMZ2014)"
ICE/DWK2013,"Durum Wheat Futures, May 2013 (DWK2013)"
ICE/AFRZ2011,"Richards Bay Coal Futures, December 2011 (AFRZ2011)"
ICE/ARF2017,"AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR FUTURES, January 2017 (ARF2017)"
ICE/ARK2017,"AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR FUTURES, May 2017 (ARK2017)"
ICE/ARG2017,"AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR FUTURES, February 2017 (ARG2017)"
ICE/ARX2018,"AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR FUTURES, November 2018 (ARX2018)"
ICE/ZJV2017,"New Zealand Dollar/Japanese Yen Futures, October 2017 (ZJV2017)"
ICE/ZJJ2019,"New Zealand Dollar/Japanese Yen Futures, April 2019 (ZJJ2019)"
ICE/ZJG2019,"New Zealand Dollar/Japanese Yen Futures, February 2019 (ZJG2019)"
ICE/ZJU2019,"New Zealand Dollar/Japanese Yen Futures, September 2019 (ZJU2019)"
ICE/NJF2016,"Norwegian Krone/Swedish Krona Futures, January 2016 (NJF2016)"
ICE/NJG2016,"Norwegian Krone/Swedish Krona Futures, February 2016 (NJG2016)"
ICE/NJN2017,"Norwegian Krone/Swedish Krona Futures, July 2017 (NJN2017)"
